Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
122,SE,45.98514799,-112.540506,,X,
122,SW,45.98514799,-112.540642,,X,
122,NE,45.98526801,-112.540506,,X,
122,NW,45.98526801,-112.540642,,X,
123,SE,45.98514799,-112.540355,,X,
123,SW,45.98514799,-112.540491,,X,
123,NE,45.98526801,-112.540355,,X,
123,NW,45.98526801,-112.540491,,X,
124,SE,45.98514799,-112.540189,,X,
124,SW,45.98514799,-112.540325,,X,
124,NE,45.98526801,-112.540189,,X,
124,NW,45.98526801,-112.540325,,X,
125,SE,45.98514799,-112.540034,,X,
125,SW,45.98514799,-112.54017,,X,
125,NE,45.98526801,-112.540034,,X,
125,NW,45.98526801,-112.54017,,X,
126,SE,45.98514799,-112.53984,,X,
126,SW,45.98514799,-112.539976,,X,
126,NE,45.98526801,-112.53984,,X,
126,NW,45.98526801,-112.539976,,X,
127,SE,45.98514799,-112.539682,,X,
127,SW,45.98514799,-112.539818,,X,
127,NE,45.98526801,-112.539682,,X,
127,NW,45.98526801,-112.539818,,X,
128,SE,45.98514799,-112.539524,,X,
128,SW,45.98514799,-112.53966,,X,
128,NE,45.98526801,-112.539524,,X,
128,NW,45.98526801,-112.53966,,X,
129,SE,45.98514799,-112.539368,,X,
129,SW,45.98514799,-112.539504,,X,
129,NE,45.98526801,-112.539368,,X,
129,NW,45.98526801,-112.539504,,X,
130,SE,45.98514799,-112.539208,,X,
130,SW,45.98514799,-112.539344,,X,
130,NE,45.98526801,-112.539208,,X,
130,NW,45.98526801,-112.539344,,X,
131,SE,45.98527999,-112.540655,,X,
131,SW,45.98527999,-112.540791,,X,
131,NE,45.98540001,-112.540655,,X,
131,NW,45.98540001,-112.540791,,X,
132,SE,45.98527999,-112.540506,,X,
132,SW,45.98527999,-112.540642,,X,
132,NE,45.98540001,-112.540506,,X,
132,NW,45.98540001,-112.540642,,X,
133,SE,45.98527999,-112.540355,,X,
133,SW,45.98527999,-112.540491,,X,
133,NE,45.98540001,-112.540355,,X,
133,NW,45.98540001,-112.540491,,X,
134,SE,45.98527999,-112.540189,,X,
134,SW,45.98527999,-112.540325,,X,
134,NE,45.98540001,-112.540189,,X,
134,NW,45.98540001,-112.540325,,X,
135,SE,45.98527999,-112.540034,,X,
135,SW,45.98527999,-112.54017,,X,
135,NE,45.98540001,-112.540034,,X,
135,NW,45.98540001,-112.54017,,X,
136,SE,45.98527999,-112.53984,,X,
136,SW,45.98527999,-112.539976,,X,
136,NE,45.98540001,-112.53984,,X,
136,NW,45.98540001,-112.539976,,X,
137,SE,45.98527999,-112.539682,,X,
137,SW,45.98527999,-112.539818,,X,
137,NE,45.98540001,-112.539682,,X,
137,NW,45.98540001,-112.539818,,X,
138,SE,45.98527999,-112.539524,,X,
138,SW,45.98527999,-112.53966,,X,
138,NE,45.98540001,-112.539524,,X,
138,NW,45.98540001,-112.53966,,X,
139,SE,45.98527999,-112.539368,,X,
139,SW,45.98527999,-112.539504,,X,
139,NE,45.98540001,-112.539368,,X,
139,NW,45.98540001,-112.539504,,X,
140,SE,45.98527999,-112.539208,,X,
140,SW,45.98527999,-112.539344,,X,
140,NE,45.98540001,-112.539208,,X,
140,NW,45.98540001,-112.539344,,X,
141,SE,45.98542199,-112.540655,,X,
141,SW,45.98542199,-112.540791,,X,
141,NE,45.98554201,-112.540655,,X,
141,NW,45.98554201,-112.540791,,X,
142,SE,45.98542199,-112.540506,,X,
142,SW,45.98542199,-112.540642,,X,
142,NE,45.98554201,-112.540506,,X,
142,NW,45.98554201,-112.540642,,X,
143,SE,45.98542199,-112.540355,,X,
143,SW,45.98542199,-112.540491,,X,
143,NE,45.98554201,-112.540355,,X,
143,NW,45.98554201,-112.540491,,X,
144,SE,45.98542199,-112.540189,,X,
144,SW,45.98542199,-112.540325,,X,
144,NE,45.98554201,-112.540189,,X,
144,NW,45.98554201,-112.540325,,X,
145,SE,45.98542199,-112.540034,,X,
145,SW,45.98542199,-112.54017,,X,
145,NE,45.98554201,-112.540034,,X,
145,NW,45.98554201,-112.54017,,X,
146,SE,45.98542199,-112.53984,,X,
146,SW,45.98542199,-112.539976,,X,
146,NE,45.98554201,-112.53984,,X,
146,NW,45.98554201,-112.539976,,X,
147,SE,45.98542199,-112.539682,,X,
147,SW,45.98542199,-112.539818,,X,
147,NE,45.98554201,-112.539682,,X,
147,NW,45.98554201,-112.539818,,X,
148,SE,45.98542199,-112.539524,,X,
148,SW,45.98542199,-112.53966,,X,
148,NE,45.98554201,-112.539524,,X,
148,NW,45.98554201,-112.53966,,X,
149,SE,45.98542199,-112.539368,,X,
149,SW,45.98542199,-112.539504,,X,
149,NE,45.98554201,-112.539368,,X,
149,NW,45.98554201,-112.539504,,X,
150,SE,45.98542199,-112.539208,,X,
150,SW,45.98542199,-112.539344,,X,
150,NE,45.98554201,-112.539208,,X,
150,NW,45.98554201,-112.539344,,X,
151,SE,45.98555099,-112.540655,,X,
151,SW,45.98555099,-112.540791,,X,
151,NE,45.98567101,-112.540655,,X,
151,NW,45.98567101,-112.540791,,X,
152,SE,45.98555099,-112.540506,,X,
152,SW,45.98555099,-112.540642,,X,
152,NE,45.98567101,-112.540506,,X,
152,NW,45.98567101,-112.540642,,X,
153,SE,45.98555099,-112.540355,,X,
153,SW,45.98555099,-112.540491,,X,
153,NE,45.98567101,-112.540355,,X,
153,NW,45.98567101,-112.540491,,X,
154,SE,45.98555099,-112.540189,,X,
154,SW,45.98555099,-112.540325,,X,
154,NE,45.98567101,-112.540189,,X,
154,NW,45.98567101,-112.540325,,X,
155,SE,45.98555099,-112.540034,,X,
155,SW,45.98555099,-112.54017,,X,
155,NE,45.98567101,-112.540034,,X,
155,NW,45.98567101,-112.54017,,X,
156,SE,45.98555099,-112.53984,,X,
156,SW,45.98555099,-112.539976,,X,
156,NE,45.98567101,-112.53984,,X,
156,NW,45.985665,-112.539972,,,
157,SE,45.98555099,-112.539682,,X,
157,SW,45.98555099,-112.539818,,X,
157,NE,45.98567101,-112.539682,,X,
157,NW,45.98567101,-112.539818,,X,
158,SE,45.98555099,-112.539524,,X,
158,SW,45.98555099,-112.53966,,X,
158,NE,45.98567101,-112.539524,,X,
158,NW,45.98567101,-112.53966,,X,
159,SE,45.98555099,-112.539368,,X,
159,SW,45.98555099,-112.539504,,X,
159,NE,45.98567101,-112.539368,,X,
159,NW,45.98567101,-112.539504,,X,
160,SE,45.98555099,-112.539208,,X,
160,SW,45.98555099,-112.539344,,X,
160,NE,45.98567101,-112.539208,,X,
160,NW,45.98567101,-112.539344,,X,
161,SE,45.98555099,-112.540858,,X,
161,SW,45.98555099,-112.540994,,X,
